Title,Price,Make,Model,YOM,Mileage (km),Gear,Fuel Type,Engine (cc),URL
Nissan Tiida 2008 Car (Used),"Rs. 5,200,000",Nissan,Tiida,2008,-,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-tiida-sale-colombo-11243242
Suzuki Swift RS 2017 Car (Used),"Rs. 7,650,000",Suzuki,Swift RS,2017,115000,Automatic,Hybrid,1300,https://riyasewana.com/buy/suzuki-swift-rs-sale-negombo-11243237
Toyota Vitz Safety Edition 2020 Car (Used),"Rs. 7,690,000",Toyota,Vitz Safety Edition,2020,55000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-safety-sale-mawanella-11243227
Mercedes-Benz W211 E220 2006 Car (Used),"Rs. 8,500,000",Mercedes-Benz,W211 E220,2006,220000,Automatic,Diesel,2148,https://riyasewana.com/buy/mercedes-benz-w211-e220-sale-wennappuwa-11243226
Toyota Belta 2011 Car (Used),"Rs. 7,000,000",Toyota,Belta,2011,121000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-belta-sale-matara-11243216
Toyota Prius 2010 Car (Used),Negotiable,Toyota,Prius,2010,1720000,Automatic,Petrol,-,https://riyasewana.com/buy/toyota-prius-sale-kiribathgoda-11243212
Toyota Corona Premio 1996 Car (Used),Negotiable,Toyota,Corona Premio,1996,223851,Manual,Petrol,1800,https://riyasewana.com/buy/toyota-corona-premio-sale-nugegoda-11243210
Tata LX Nano 2011 Car (Used),Negotiable,Tata,LX Nano,2011,110000,Manual,Petrol,650,https://riyasewana.com/buy/tata-lx-nano-sale-katunayake-11243209
Suzuki ALTO JAPAN 2016 Car (Used),"Rs. 5,300,000",Suzuki,ALTO JAPAN,2016,61000,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-alto-japan-sale-homagama-11243207
Perodua Viva Elite 2011 Car (Used),"Rs. 4,240,000",Perodua,Viva Elite,2011,160000,Automatic,Petrol,1000,https://riyasewana.com/buy/perodua-viva-elite-sale-matara-11243204
Nissan B310 1980 Car (Used),"Rs. 445,000",Nissan,B310,1980,-,Manual,Petrol,1400,https://riyasewana.com/buy/nissan-b310-sale-minuwangoda-11243203
Suzuki Celerio 2018 Car (Used),"Rs. 6,150,000",,,,,,,,https://riyasewana.com/buy/suzuki-celerio-sale-dehiwala-mount-lavinia-11235593
Nissan FB15 2002 Car (Used),"Rs. 3,950,000",,,,,,,,https://riyasewana.com/buy/nissan-fb15-sale-kelaniya-11217418
Hyundai I10 2016 Car (Used),"Rs. 5,050,000",,,,,,,,https://riyasewana.com/buy/hyundai-i10-sale-colombo-11243487
Toyota Axio 2013 Car (Used),"Rs. 8,150,000",,,,,,,,https://riyasewana.com/buy/toyota-axio-sale-kurunegala-11235865
Mazda 3 2014 Car (Used),"Rs. 9,850,000",,,,,,,,https://riyasewana.com/buy/mazda-3-sale-padukka-11199774
Suzuki Maruti 2008 Car (Used),"Rs. 2,150,000",Suzuki,Maruti,2008,166990,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-elpitiya-11243201
Toyota Corolla 111 1998 Car (Used),Negotiable,Toyota,Corolla 111,1998,265000,Automatic,Petrol,1300,https://riyasewana.com/buy/toyota-corolla-111-sale-wattala-11243195
Nissan FB13 1991 Car (Used),"Rs. 2,100,000",,,,,,,,https://riyasewana.com/buy/nissan-fb13-sale-kandy-11235858
Toyota Sprinter AE110 1996 Car (Used),"Rs. 3,575,000",,,,,,,,https://riyasewana.com/buy/toyota-sprinter-ae110-sale-pannipitiya-11235856
Daihatsu Mira Pixis 2017 Car (Used),"Rs. 5,275,000",Daihatsu,Mira Pixis,2017,103000,Automatic,Petrol,650,https://riyasewana.com/buy/daihatsu-mira-pixis-sale-ja-ela-11243189
Suzuki Maruti 2006 Car (Used),"Rs. 2,150,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-kadawatha-11235851
Suzuki Swift 2003 Car (Used),"Rs. 3,950,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-sale-kandy-11235838
Suzuki Swift 2008 Car (Used),"Rs. 650,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-sale-kandy-11235847
Nissan Sunny Ex Saloon 1990 Car (Used),"Rs. 2,150,000",Nissan,Sunny Ex Saloon,1990,218000,Manual,Petrol,1495,https://riyasewana.com/buy/nissan-sunny-ex-sale-colombo-11243187
Suzuki Maruti Zen 2008 Car (Used),"Rs. 3,395,000",Suzuki,Maruti Zen,2008,-,Manual,Petrol,1000,https://riyasewana.com/buy/suzuki-maruti-zen-sale-panadura-11243200
Tata Nano 2017 Car (Used),"Rs. 2,295,000",Tata,Nano,2017,-,Automatic,Petrol,624,https://riyasewana.com/buy/tata-nano-sale-panadura-11243186
Suzuki Swift 2004 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-swift-sale-kandana-11235827
Honda Alto Japan 2023 Car Unregistered (Recondition),"Rs. 7,550,000",Honda,Alto Japan,2023,9500,Automatic,Petrol,650,https://riyasewana.com/buy/honda-alto-japan-sale-nugegoda-11243180
Suzuki Wagon R Stingray J Style 2015 Car (Used),"Rs. 5,650,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-piliyandala-11235821
Toyota KE72 DX Wagon 1984 Car (Used),"Rs. 1,395,000",,,,,,,,https://riyasewana.com/buy/toyota-ke72-dx-sale-negombo-11235820
Toyota AQUA G GRADE 2012 Car (Used),"Rs. 6,990,000",Toyota,AQUA G GRADE,2012,164000,Automatic,Petrol,-,https://riyasewana.com/buy/toyota-aqua-g-sale-kiribathgoda-11243179
Toyota Ce100 1995 Car (Used),"Rs. 2,990,000",,,,,,,,https://riyasewana.com/buy/toyota-ce100-sale-ratnapura-11235812
Toyota Corolla 121 2002 Car (Used),"Rs. 5,675,000",,,,,,,,https://riyasewana.com/buy/toyota-corolla-121-sale-malabe-11235810
Toyota Corolla AE81 1987 Car (Used),"Rs. 1,475,000",Toyota,Corolla AE81,1987,-,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae81-sale-piliyandala-11243173
Toyota Yaris 2007 Car (Used),"Rs. 6,200,000",,,,,,,,https://riyasewana.com/buy/toyota-yaris-sale-gampaha-11235802
Datsun Redi-Go 2016 Car (Used),"Rs. 3,265,000",Datsun,Redi-Go,2016,-,Manual,Petrol,800,https://riyasewana.com/buy/datsun-redi-go-sale-panadura-11243164
Suzuki Wagon R Stingray 2017 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-matale-11235790
Suzuki Swift Beetle Japan 2008 Car (Used),"Rs. 5,250,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-beetle-sale-colombo-11235779
Micro Mx7 2014 Car (Used),"Rs. 3,450,000",Micro,Mx7,2014,160000,Manual,Petrol,1500,https://riyasewana.com/buy/micro-mx7-sale-gampaha-11243163
Suzuki Swift 2001 Car (Used),"Rs. 3,775,000",,,,,,,,https://riyasewana.com/buy/suzuki-swift-sale-homagama-11235780
Toyota Corolla EE90 1989 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-corolla-ee90-sale-polgahawela-11235770
Mitsubishi Lancer CS3 GLS 2004 Car (Used),"Rs. 1,200,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-cs3-sale-anuradapura-11235769
Toyota Axio WXB 2018 Car (Used),Negotiable,Toyota,Axio WXB,2018,50000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-axio-wxb-sale-kiribathgoda-11243162
Suzuki Maruti Alto Sports 2007 Car (Used),"Rs. 2,795,000",Suzuki,Maruti Alto Sports,2007,-,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-alto-sale-bandaragama-11243159
Suzuki Alto 2007 Car (Used),"Rs. 2,975,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-gampaha-11235766
Zotye Z100 2021 Car (Used),"Rs. 3,395,000",Zotye,Z100,2021,-,Manual,Petrol,1000,https://riyasewana.com/buy/zotye-z100-sale-bandaragama-11243152
Kia Picanto-Eco 2016 Car (Used),"Rs. 5,550,000",,,,,,,,https://riyasewana.com/buy/kia-picanto-eco-sale-dehiwala-mount-lavinia-11235759
Toyota Prius G Sport 2013 Car (Used),Negotiable,Toyota,Prius G Sport,2013,72300,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-g-sale-kadawatha-11243177
Nissan Teana Cefiro J32 2009 Car (Used),"Rs. 11,500,000",,,,,,,,https://riyasewana.com/buy/nissan-teana-cefiro-sale-maharagama-11235741
Austin Morris 1990 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/austin-morris-sale-kandy-11235745
Nissan N16 EX Saloon 2001 Car (Used),Negotiable,Nissan,N16 EX Saloon,2001,185000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-n16-ex-sale-kurunegala-11243150
Toyota Ae91 1987 Car (Used),"Rs. 1,850,000",,,,,,,,https://riyasewana.com/buy/toyota-ae91-sale-kurunegala-11235740
Nissan FB15 Sunny Super Saloon 2002 Car (Used),"Rs. 4,095,000",Nissan,FB15 Sunny Super Saloon,2002,185000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-fb15-sunny-sale-kurunegala-11243146
BMW 523i E60 2005 Car (Used),"Rs. 12,000,000",,,,,,,,https://riyasewana.com/buy/bmw-523i-e60-sale-maharagama-11235735
Toyota Prius SLED 2013 Car (Used),"Rs. 11,000,000",Toyota,Prius SLED,2013,184998,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-sled-sale-homagama-11243142
BMW 523i 2010 Car (Used),"Rs. 18,500,000",,,,,,,,https://riyasewana.com/buy/bmw-523i-sale-colombo-11235728
Honda Civic Es 5 V-Tec 2007 Car (Used),"Rs. 1,500,000",,,,,,,,https://riyasewana.com/buy/honda-civic-es-sale-anuradapura-11235732
Suzuki FX 2017 Car (Used),"Rs. 5,890,000",Suzuki,FX,2017,86000,Automatic,Hybrid,650,https://riyasewana.com/buy/suzuki-fx-sale-embilipitiya-11243140
Toyota Corolla AE100 L Touring Wagon 1996 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-corolla-ae100-sale-horana-11235726
Suzuki Wagon R FX 2024 Car Unregistered (Recondition),"Rs. 7,050,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-11235721
Honda Civic FD3 2010 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/honda-civic-fd3-sale-malabe-11235695
Mitsubishi Lancer Cb 2 1992 Car Brand New,"Rs. 3,175,000",,,,,,,,https://riyasewana.com/buy/mitsubishi-lancer-cb-sale-kottawa-11235683
Suzuki Spacia 2024 Car Unregistered (Recondition),"Rs. 8,200,000",,,,,,,,https://riyasewana.com/buy/suzuki-spacia-sale-warakapola-11235674
Nissan N17 FG10 2004 Car (Used),"Rs. 4,995,000",,,,,,,,https://riyasewana.com/buy/nissan-n17-fg10-sale-malabe-11235673
Nissan FB15 SUPER Saloon 1999 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/nissan-fb15-super-sale-negombo-11235672
Toyota Premio 2002 Car (Used),"Rs. 6,995,000",,,,,,,,https://riyasewana.com/buy/toyota-premio-sale-malabe-11235669
Nissan Corsa 1990 Car (Used),"Rs. 1,325,000",,,,,,,,https://riyasewana.com/buy/nissan-corsa-sale-kurunegala-11235666
Toyota Vitz KSP90 2008 Car (Used),"Rs. 5,725,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-gampaha-11235651
Suzuki Maruti 2009 Car (Used),"Rs. 2,285,000",,,,,,,,https://riyasewana.com/buy/suzuki-maruti-sale-kurunegala-11235648
Suzuki Alto 800 LXI 2015 Car (Used),"Rs. 3,550,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-800-sale-galle-11235636
Toyota CORONA 1984 Car (Used),"Rs. 1,065,000",,,,,,,,https://riyasewana.com/buy/toyota-corona-sale-kiribathgoda-11235635
Daihatsu Mira 2016 Car (Used),"Rs. 5,340,000",,,,,,,,https://riyasewana.com/buy/daihatsu-mira-sale-matara-11235631
Bajaj Qute 2019 Car (Used),"Rs. 1,195,000",,,,,,,,https://riyasewana.com/buy/bajaj-qute-sale-batticaloa-11235628
Toyota 140 1983 Car (Used),"Rs. 670,000",Toyota,140,1983,250000,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-140-sale-gampaha-11243231
Daihatsu Mira L Grade 2024 Car Unregistered (Recondition),"Rs. 6,290,000",,,,,,,,https://riyasewana.com/buy/daihatsu-mira-l-sale-gampaha-11234950
Toyota Sprinter EE111 1997 Car (Used),"Rs. 3,650,000",,,,,,,,https://riyasewana.com/buy/toyota-sprinter-ee111-sale-matale-11239858
Toyota Prius 2014 Car (Used),"Rs. 10,800,000",,,,,,,,https://riyasewana.com/buy/toyota-prius-sale-kalutara-11216242
Toyota Aqua 2013 Car (Used),"Rs. 7,100,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-sale-ragama-11235624
Suzuki Alto 2015 Car (Used),"Rs. 3,575,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-malabe-11241524
Toyota Vitz LED Edition 3 2019 Car (Used),"Rs. 8,450,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-led-sale-kadawatha-11235623
Suzuki Celerio 2018 Car (Used),"Rs. 6,150,000",,,,,,,,https://riyasewana.com/buy/suzuki-celerio-sale-dehiwala-mount-lavinia-11235593
Kia Picanto 2011 Car (Used),"Rs. 5,185,000",,,,,,,,https://riyasewana.com/buy/kia-picanto-sale-moratuwa-11235588
Toyota AQUA Urban 2014 Car (Used),"Rs. 7,850,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-urban-sale-galle-11235615
Nissan FB15 SHELL JAPAN 2003 Car (Used),"Rs. 4,500,000",,,,,,,,https://riyasewana.com/buy/nissan-fb15-shell-sale-kiribathgoda-11235614
BMW 520d 2015 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/bmw-520d-sale-colombo-11235585
Suzuki Alto 2011 Car (Used),"Rs. 3,000,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-sale-anuradapura-11235579
Toyota Starlet 1997 Car (Used),"Rs. 3,375,000",,,,,,,,https://riyasewana.com/buy/toyota-starlet-sale-kurunegala-11235584
Suzuki Alto LXI 2006 Car (Used),"Rs. 2,950,000",,,,,,,,https://riyasewana.com/buy/suzuki-alto-lxi-sale-mawanella-11235569
Toyota Vitz Edition 2 2019 Car (Used),"Rs. 8,390,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-edition-sale-mawanella-11235577
Honda City 2000 Car (Used),"Rs. 3,670,000",,,,,,,,https://riyasewana.com/buy/honda-city-sale-piliyandala-11235565
Tata Indigo Cs 2011 Car (Used),"Rs. 2,475,000",,,,,,,,https://riyasewana.com/buy/tata-indigo-cs-sale-galle-11235564
Nissan March K11 2002 Car (Used),"Rs. 3,300,000",,,,,,,,https://riyasewana.com/buy/nissan-march-k11-sale-gampaha-11235563
Toyota Allion 240 G 2006 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-allion-240-sale-kotikawatta-11235540
Perodua Viva Elite 2012 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/perodua-viva-elite-sale-homagama-11235539
BMW 318I M Sport 2016 Car (Used),"Rs. 20,500,000",,,,,,,,https://riyasewana.com/buy/bmw-318i-m-sale-embilipitiya-11235531
Hyundai Accent 2003 Car (Used),"Rs. 2,650,000",,,,,,,,https://riyasewana.com/buy/hyundai-accent-sale-divulapitiya-11235530
Nissan FB15 2000 Car (Used),"Rs. 3,925,000",,,,,,,,https://riyasewana.com/buy/nissan-fb15-sale-gampaha-11235529
Tata Indigo Zest 2014 Car (Used),"Rs. 3,960,000",,,,,,,,https://riyasewana.com/buy/tata-indigo-zest-sale-avissawella-11235527
Honda Freed Gp3 2012 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/honda-freed-gp3-sale-bandaragama-11235522
Nissan HB11 Long Bapar 1987 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/nissan-hb11-long-sale-kalutara-11235506
Suzuki Wagon R Stingray 2014 Car (Used),"Rs. 5,475,000",,,,,,,,https://riyasewana.com/buy/suzuki-wagon-r-sale-mullaitivu-11235501
Toyota Carina Ka67 1987 Car (Used),"Rs. 1,625,000",,,,,,,,https://riyasewana.com/buy/toyota-carina-ka67-sale-kurunegala-11235481
Renault Kwid 2016 Car (Used),"Rs. 3,400,000",,,,,,,,https://riyasewana.com/buy/renault-kwid-sale-trincomalee-11235480
Daihatsu MOVE CUSTOM TURBO EDITION 2017 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/daihatsu-move-custom-sale-kalutara-11235464
Daihatsu CAST ACTIVA 2017 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/daihatsu-cast-activa-sale-kalutara-11235476
Honda Grace 2016 Car (Used),"Rs. 9,450,000",,,,,,,,https://riyasewana.com/buy/honda-grace-sale-anuradapura-11235465
Mazda 3 Axela 2015 Car (Used),"Rs. 9,100,000",,,,,,,,https://riyasewana.com/buy/mazda-3-axela-sale-malabe-11235460
Toyota Aqua G Grade 2013 Car (Used),"Rs. 7,200,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-g-sale-hanwella-11235457
Toyota Vitz KSP90 2008 Car (Used),"Rs. 5,460,000",,,,,,,,https://riyasewana.com/buy/toyota-vitz-ksp90-sale-kurunegala-11235440
Toyota Ae91 1989 Car (Used),"Rs. 1,650,000",,,,,,,,https://riyasewana.com/buy/toyota-ae91-sale-piliyandala-11235436
BMW 520D 2012 Car (Used),"Rs. 17,450,000",,,,,,,,https://riyasewana.com/buy/bmw-520d-sale-gampaha-11235426
Toyota Belta 2007 Car (Used),"Rs. 6,100,000",,,,,,,,https://riyasewana.com/buy/toyota-belta-sale-negombo-11235451
BMW 523I M5 KITTED STAGE 1 REMAPPED 2010 Car (Used),"Rs. 16,900,000",BMW,523I M5 KITTED STAGE 1 REMAPPED,2010,100000,Automatic,Petrol,2500,https://riyasewana.com/buy/bmw-523i-m5-sale-colombo-11228609
Suzuki Hustler 2023 Car Unregistered (Recondition),"Rs. 8,500,000",Suzuki,Hustler,2023,9200,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-hustler-sale-polgahawela-11245359
Toyota Prius My Coordination SPECIAL EDITION 2013 Car (Used),"Rs. 9,975,000",Toyota,Prius My Coordination SPECIAL EDITION,2013,148500,Automatic,Hybrid,1800,https://riyasewana.com/buy/toyota-prius-my-sale-kurunegala-11244260
Toyota AT 170 Corona 1991 Car (Used),"Rs. 650,000",Toyota,AT 170 Corona,1991,234567,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-at-170-sale-kaduwela-11243137
Nissan Sunny HB12 1987 Car (Used),"Rs. 1,740,000",,,,,,,,https://riyasewana.com/buy/nissan-sunny-hb12-sale-kuliyapitiya-11235414
Nissan U14 Bluebird 2001 Car (Used),"Rs. 3,850,000",,,,,,,,https://riyasewana.com/buy/nissan-u14-bluebird-sale-kalutara-11235407
Mercedes-Benz C200 AMG Line 2014 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/mercedes-benz-c200-amg-sale-hanwella-11235398
Austin Mini Cooper 1969 Car (Used),"Rs. 2,575,000",,,,,,,,https://riyasewana.com/buy/austin-mini-cooper-sale-kegalle-11235383
Suzuki Alto 2015 Car (Used),"Rs. 3,550,000",Suzuki,Alto,2015,91000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-kandy-11243135
Daihatsu Taft X Grade 2023 Car Unregistered (Recondition),"Rs. 7,600,000",,,,,,,,https://riyasewana.com/buy/daihatsu-taft-x-sale-gampaha-11235381
BMW 520d 2013 Car (Used),"Rs. 15,950,000",BMW,520d,2013,85000,Automatic,Diesel,2000,https://riyasewana.com/buy/bmw-520d-sale-matara-11243133
Toyota Allion 2010 Car (Used),Negotiable,Toyota,Allion,2010,114000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-sale-nittambuwa-11243132
Suzuki Alto 2015 Car (Used),"Rs. 3,575,000",Suzuki,Alto,2015,129000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-alto-sale-malabe-11241524
Hyundai ACCENT 2001 Car (Used),"Rs. 2,875,000",Hyundai,ACCENT,2001,160000,Automatic,Petrol,1500,https://riyasewana.com/buy/hyundai-accent-sale-gampaha-11243130
Micro Mx7 Mark 2 2013 Car (Used),"Rs. 3,395,000",,,,,,,,https://riyasewana.com/buy/micro-mx7-mark-sale-piliyandala-11235377
Honda Grace Rs Sensing 2017 Car (Used),Negotiable,Honda,Grace Rs Sensing,2017,130000,Automatic,Hybrid,1500,https://riyasewana.com/buy/honda-grace-rs-sale-kandy-11243129
Micro Panda 2016 Car (Used),Negotiable,Micro,Panda,2016,50000,Manual,Petrol,1300,https://riyasewana.com/buy/micro-panda-sale-panadura-11243124
Zotye Z100 2016 Car (Used),"Rs. 3,190,000",Zotye,Z100,2016,-,Manual,Petrol,1000,https://riyasewana.com/buy/zotye-z100-sale-panadura-11243126
Toyota Roomy 2025 Car (Used),"Rs. 11,200,000",Toyota,Roomy,2025,212,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-roomy-sale-malabe-11243121
Suzuki Cultus Japan Wagon 2001 Car (Used),"Rs. 995,000",Suzuki,Cultus Japan Wagon,2001,111111111,Automatic,Petrol,1490,https://riyasewana.com/buy/suzuki-cultus-japan-sale-nawalapitiya-11243120
Toyota Corolla 141 2008 Car (Used),"Rs. 6,675,000",Toyota,Corolla 141,2008,177000,Automatic,Petrol,1600,https://riyasewana.com/buy/toyota-corolla-141-sale-gampaha-11243122
Toyota Corolla AE110 1998 Car (Used),"Rs. 3,150,000",Toyota,Corolla AE110,1998,-,Manual,Petrol,1500,https://riyasewana.com/buy/toyota-corolla-ae110-sale-kurunegala-11243119
Toyota Alto Japan 2023 Car Unregistered (Recondition),"Rs. 7,950,000",Toyota,Alto Japan,2023,12000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-alto-japan-sale-nugegoda-11243117
Nissan N16 2001 Car (Used),"Rs. 4,350,000",Nissan,N16,2001,78250,Manual,Petrol,1300,https://riyasewana.com/buy/nissan-n16-sale-kandy-11243111
Micro Panda LC 1.0 2018 Car (Used),Negotiable,Micro,Panda LC 1.0,2018,82244,Manual,Petrol,1000,https://riyasewana.com/buy/micro-panda-lc-sale-kottawa-11243115
Nissan March K11 1996 Car (Used),"Rs. 2,275,000",Nissan,March K11,1996,24753,Automatic,Petrol,1000,https://riyasewana.com/buy/nissan-march-k11-sale-gampaha-11243110
Honda Car Honda 1985 Car (Used),"Rs. 675,000",Honda,Car Honda,1985,25000,Manual,Petrol,1500,https://riyasewana.com/buy/honda-car-honda-sale-kalutara-11243109
Nissan FB15 Ex Saloon 2001 Car (Used),"Rs. 3,975,000",Nissan,FB15 Ex Saloon,2001,198000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-fb15-ex-sale-kurunegala-11243102
Micro Panda 2014 Car (Used),"Rs. 2,895,000",Micro,Panda,2014,-,Manual,Petrol,1000,https://riyasewana.com/buy/micro-panda-sale-bandaragama-11243107
Nissan FB14 Sports Coupe 1995 Car (Used),Negotiable,Nissan,FB14 Sports Coupe,1995,-,Manual,Petrol,1490,https://riyasewana.com/buy/nissan-fb14-sports-sale-kurunegala-11243101
Fiat Uno 55 Super 1986 Car (Used),"Rs. 725,000",Fiat,Uno 55 Super,1986,110000,Manual,Petrol,1100,https://riyasewana.com/buy/fiat-uno-55-sale-gampaha-11243087
Suzuki Wagon R 2015 Car (Used),"Rs. 5,390,000",Suzuki,Wagon R,2015,85000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-wagon-r-sale-bandarawela-11243083
Suzuki Spacia 2024 Car (Used),"Rs. 8,150,000",Suzuki,Spacia,2024,212,Automatic,Hybrid,660,https://riyasewana.com/buy/suzuki-spacia-sale-anuradapura-11243077
Nissan March Ak12 2006 Car (Used),Negotiable,Nissan,March Ak12,2006,149000,Automatic,Petrol,1300,https://riyasewana.com/buy/nissan-march-ak12-sale-panadura-11243073
Suzuki Maruti 2006 Car (Used),"Rs. 1,750,000 (Ongoing Lease)",Suzuki,Maruti,2006,1234,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-bandarawela-11243070
Hyundai Santro 2006 Car (Used),"Rs. 975,000 (Ongoing Lease)",Hyundai,Santro,2006,150000,Manual,Petrol,1000,https://riyasewana.com/buy/hyundai-santro-sale-kottawa-11243058
Nissan SUNNY FB15 2001 Car (Used),"Rs. 4,190,000",Nissan,SUNNY FB15,2001,160000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-sunny-fb15-sale-gampaha-11243057
Honda Gp1nevi 2013 Car (Used),"Rs. 6,150,000",Honda,Gp1nevi,2013,165500,Automatic,Petrol,1300,https://riyasewana.com/buy/honda-gp1nevi-sale-dambulla-11243052
Honda Grace Ex 2017 Car (Used),Negotiable,Honda,Grace Ex,2017,140000,Automatic,Hybrid,1500,https://riyasewana.com/buy/honda-grace-ex-sale-gampaha-11243050
Toyota Allion 240 2005 Car (Used),Negotiable,Toyota,Allion 240,2005,180000,Automatic,Petrol,1500,https://riyasewana.com/buy/toyota-allion-240-sale-veyangoda-11243049
Suzuki Maruti 2004 Car (Used),Negotiable,Suzuki,Maruti,2004,75000,Manual,Petrol,800,https://riyasewana.com/buy/suzuki-maruti-sale-warakapola-11243043
Nissan FB15 2004 Car (Used),"Rs. 4,295,000",Nissan,FB15,2004,245000,Automatic,Petrol,1500,https://riyasewana.com/buy/nissan-fb15-sale-ja-ela-11243062
Toyota Vitz 2016 Car (Used),Negotiable,Toyota,Vitz,2016,73000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-vitz-sale-pannipitiya-11243042
Toyota YARIS 2022 Car (Used),Negotiable,Toyota,YARIS,2022,8000,Automatic,Petrol,1000,https://riyasewana.com/buy/toyota-yaris-sale-gampaha-11243039
Isuzu NPR 66L 1998 Car (Used),"Rs. 2,275,000 (Ongoing Lease)",Isuzu,NPR 66L,1998,205000,Manual,Diesel,4000,https://riyasewana.com/buy/isuzu-npr-66l-sale-kottawa-11243037
Suzuki HUSTLER 2015 Car (Used),"Rs. 5,975,000",Suzuki,HUSTLER,2015,124000,Automatic,Petrol,650,https://riyasewana.com/buy/suzuki-hustler-sale-gampaha-11243035
Micro Panda 2013 Car (Used),Negotiable,Micro,Panda,2013,40000,Manual,Petrol,1000,https://riyasewana.com/buy/micro-panda-sale-gampaha-11243033
Toyota Prius 2013 Car (Used),"Rs. 9,875,000",Toyota,Prius,2013,176000,Automatic,Petrol,1790,https://riyasewana.com/buy/toyota-prius-sale-vavuniya-11243034
Peugeot 206 2003 Car (Used),"Rs. 1,175,000 (Ongoing Lease)",Peugeot,206,2003,-,Automatic,Petrol,1400,https://riyasewana.com/buy/peugeot-206-sale-kottawa-11243021
Honda Civic ES Vtec 2004 Car (Used),"Rs. 5,390,000",Honda,Civic ES Vtec,2004,-,Automatic,Petrol,1500,https://riyasewana.com/buy/honda-civic-es-sale-hatton-11243032
Toyota Axio G Grade 2006 Car (Used),"Rs. 6,950,000",,,,,,,,https://riyasewana.com/buy/toyota-axio-g-sale-panadura-11239253
Toyota Aqua X Urban 2015 Car (Used),"Rs. 8,550,000",,,,,,,,https://riyasewana.com/buy/toyota-aqua-x-sale-wennappuwa-11231897
Toyota PREMIO G SUPERIOR 2013 Car (Used),Negotiable,,,,,,,,https://riyasewana.com/buy/toyota-premio-g-sale-horana-11218976
